zipcode,totalbirths
90001,1405
90002,1242
90003,1691
90004,970
90005,679
90006,1085
90007,595
90008,453
90009,10
90010,17
90011,2722
90012,245
90013,42
90014,33
90015,311
90016,833
90017,408
90018,840
90019,991
90020,628
90021,38
90022,1360
90023,1047
90024,299
90025,486
90026,996
90027,457
90028,287
90029,587
90031,660
90032,786
90033,1071
90034,819
90035,363
90036,474
90037,1383
90038,391
90039,372
90040,251
90041,324
90042,1067
90043,617
90044,1992
90045,425
90046,336
90047,737
90048,198
90049,361
90056,74
90057,891
90058,85
90059,984
90060,5
90061,617
90062,591
90063,1155
90064,297
90065,780
90066,760
90067,31
90068,226
90069,117
90077,88
90094,97
90201,2119
90202,25
90209,5
90210,192
90211,78
90212,106
90220,1090
90221,1392
90222,671
90230,364
90231,5
90232,162
90239,8
90240,352
90241,677
90242,673
90245,192
90247,812
90248,136
90249,415
90250,1666
90251,11
90254,202
90255,1642
90260,613
90262,1530
90265,129
90266,394
90267,6
90270,552
90272,191
90274,149
90275,263
90277,356
90278,605
90280,1821
90290,57
90291,337
90292,210
90293,134
90294,5
90301,687
90302,489
90303,486
90304,619
90305,155
90306,7
90401,57
90402,94
90403,244
90404,213
90405,273
90501,692
90502,251
90503,502
90504,353
90505,342
90601,446
90602,456
90603,199
90604,571
90605,624
90606,523
90607,8
90609,6
90620,567
90621,650
90623,170
90630,466
90631,1064
90638,529
90640,1000
90650,1767
90660,1037
90670,231
90680,568
90701,217
90703,409
90704,46
90706,1195
90710,391
90712,438
90713,312
90715,343
90716,305
90717,292
90720,194
90723,1143
90731,872
90732,238
90740,107
90742,9
90744,1101
90745,807
90746,282
90755,177
90801,11
90802,562
90803,257
90804,721
90805,1850
90806,816
90807,401
90808,388
90810,608
90813,1424
90814,201
90815,396
91001,507
91006,341
91007,345
91010,390
91011,113
91016,613
91020,74
91024,95
91030,229
91040,200
91042,385
91101,308
91103,456
91104,577
91105,109
91106,354
91107,408
91108,113
91201,246
91202,269
91203,159
91204,217
91205,422
91206,338
91207,99
91208,173
91209,5
