,PWSID,PWSName,Size,FacilityID,FacilityName,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,AssociatedFacilityID,AssociatedSamplePointID,CollectionDate,SampleID,Contaminant,MRL,MethodID,AnalyticalResultsSign,AnalyticalResultValue,SampleEventCode,MonitoringRequirement,Region,State
0,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,strontium,0.3,EPA 200.8,=,98,SE3,AM,5,MI
1,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,PFOS,0.04,EPA 537,<,,SE3,AM,5,MI
2,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,bromomethane,0.2,EPA 524.3,<,,SE3,AM,5,MI
3,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,chloromethane,0.2,EPA 524.3,<,,SE3,AM,5,MI
4,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,vanadium,0.2,EPA 200.8,<,,SE3,AM,5,MI
5,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,"1,2,3-trichloropropane",0.03,EPA 524.3,<,,SE3,AM,5,MI
6,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,chromium,0.2,EPA 200.8,=,0.23,SE3,AM,5,MI
7,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,"1,4-dioxane",0.07,EPA 522,<,,SE3,AM,5,MI
8,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,PFOA,0.02,EPA 537,<,,SE3,AM,5,MI
9,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,cobalt,1,EPA 200.8,<,,SE3,AM,5,MI
10,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,PFNA,0.02,EPA 537,<,,SE3,AM,5,MI
11,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,PFHpA,0.01,EPA 537,<,,SE3,AM,5,MI
12,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,PFHxS,0.03,EPA 537,<,,SE3,AM,5,MI
13,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,chlorate,20,EPA 300.1,<,,SE3,AM,5,MI
14,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,PFBS,0.09,EPA 537,<,,SE3,AM,5,MI
15,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,HCFC-22,0.08,EPA 524.3,<,,SE3,AM,5,MI
16,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,"1,3-butadiene",0.1,EPA 524.3,<,,SE3,AM,5,MI
17,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,Halon 1011,0.06,EPA 524.3,<,,SE3,AM,5,MI
18,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,molybdenum,1,EPA 200.8,<,,SE3,AM,5,MI
19,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,12/11/13,201312120825AM,chloromethane,0.2,EPA 524.3,<,,SE2,AM,5,MI
20,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,12/11/13,201312120825AM,"1,4-dioxane",0.07,EPA 522,<,,SE2,AM,5,MI
21,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,12/11/13,201312120825AM,molybdenum,1,EPA 200.8,<,,SE2,AM,5,MI
22,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,12/11/13,201312120825AM,cobalt,1,EPA 200.8,<,,SE2,AM,5,MI
23,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,12/11/13,201312120825AM,chromium-6,0.03,EPA 218.7,=,0.29,SE2,AM,5,MI
24,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,chromium-6,0.03,EPA 218.7,=,0.23,SE3,AM,5,MI
25,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,12/11/13,201312120825AM,chromium,0.2,EPA 200.8,=,0.3,SE2,AM,5,MI
26,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,9/9/13,201309100316AM,chloromethane,0.2,EPA 524.3,<,,SE1,AM,5,MI
27,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,12/11/13,201312120825AM,strontium,0.3,EPA 200.8,=,81,SE2,AM,5,MI
28,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,9/9/13,201309100316AM,"1,4-dioxane",0.07,EPA 522,<,,SE1,AM,5,MI
29,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,6/10/14,201406110957AM,HCFC-22,0.08,EPA 524.3,<,,SE4,AM,5,MI
30,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,12/11/13,201312120825AM,chlorate,20,EPA 300.1,<,,SE2,AM,5,MI
31,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,6/24/14,201406250131AM,vanadium,0.2,EPA 200.8,<,,SE4,AM,5,MI
32,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,6/24/14,201406250131AM,molybdenum,1,EPA 200.8,<,,SE4,AM,5,MI
33,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,6/24/14,201406250131AM,cobalt,1,EPA 200.8,<,,SE4,AM,5,MI
34,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,6/24/14,201406250131AM,strontium,0.3,EPA 200.8,=,100,SE4,AM,5,MI
35,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,6/24/14,201406250131AM,chromium,0.2,EPA 200.8,=,0.42,SE4,AM,5,MI
36,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,9/9/13,201309100316AM,PFHpA,0.01,EPA 537,<,,SE1,AM,5,MI
37,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,9/9/13,201309100316AM,PFHxS,0.03,EPA 537,<,,SE1,AM,5,MI
38,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,9/9/13,201309100316AM,PFNA,0.02,EPA 537,<,,SE1,AM,5,MI
39,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,9/9/13,201309100316AM,PFOS,0.04,EPA 537,<,,SE1,AM,5,MI
40,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,9/9/13,201309100316AM,vanadium,0.2,EPA 200.8,<,,SE1,AM,5,MI
41,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,9/9/13,201309100316AM,"1,1-dichloroethane",0.03,EPA 524.3,<,,SE1,AM,5,MI
42,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,3/11/14,201403130319AM,"1,1-dichloroethane",0.03,EPA 524.3,<,,SE3,AM,5,MI
43,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,9/9/13,201309100316AM,HCFC-22,0.08,EPA 524.3,<,,SE1,AM,5,MI
44,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,9/9/13,201309100316AM,PFBS,0.09,EPA 537,<,,SE1,AM,5,MI
45,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,9/9/13,201309100316AM,molybdenum,1,EPA 200.8,<,,SE1,AM,5,MI
46,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,9/9/13,201309100316AM,"1,3-butadiene",0.1,EPA 524.3,<,,SE1,AM,5,MI
47,MI0004370,City of Midland,L,6197,Water Treatment Plant,SW,TP001,Water Treatment Plant Tap,EP,4674,MR1,9/9/13,201309100316AM,cobalt,1,EPA 200.8,<,,SE1,AM,5,MI
