PWSID,ZIPCODE
10106001,6339
10109005,6382
55293201,48858
55294506,55372
55295003,54416
63506008,88340
63506114,87004
83890023,57401
90400109,85256
90400693,85941
90407149,85256
90600142,
90605013,92953
90605107,95606
90605153,92059
AK2110342,99801
AK2210906,99503
AK2211423,99506
AK2224646,99654
AK2310730,99701
AK2310730,99706
AK2310730,99707
AK2310730,99708
AK2310730,99709
AK2310900,99701
AK2310900,99706
AK2310900,99707
AK2310900,99708
AK2310900,99709
AK2310918,99703
AL0000017,36068
AL0000023,36507
AL0000029,36526
AL0000035,36526
AL0000035,36532
AL0000035,36533
AL0000035,36535
AL0000035,36559
AL0000035,36576
AL0000035,36580
AL0000036,36536
AL0000038,36542
AL0000053,36561
AL0000085,36072
AL0000103,35121
AL0000131,36250
AL0000133,36202
AL0000154,36265
AL0000162,36203
AL0000174,36854
AL0000189,35960
AL0000213,35046
AL0000234,35171
AL0000296,36331
AL0000314,35674
AL0000321,35661
AL0000327,35660
AL0000331,35674
AL0000356,36420
AL0000361,36420
AL0000394,35055
AL0000402,35058
AL0000413,35057
AL0000413,35058
AL0000413,35098
AL0000413,35179
AL0000413,35540
AL0000413,35541
AL0000413,35619
AL0000413,35622
AL0000413,35650
AL0000441,36361
AL0000490,36701
AL0000509,35967
AL0000535,36025
AL0000547,36092
AL0000549,36054
AL0000553,36504
AL0000577,35902
AL0000588,35906
AL0000591,35907
AL0000610,35653
AL0000681,36302
AL0000728,35986
AL0000729,35768
AL0000729,35769
AL0000737,35020
AL0000738,35283
AL0000753,35094
AL0000761,35173
AL0000763,35111
AL0000783,35631
AL0000783,35645
AL0000794,35633
AL0000801,35650
AL0000804,36832
AL0000814,36866
AL0000816,36801
AL0000820,36877
AL0000824,35611
AL0000833,35612
AL0000870,36083
AL0000878,35749
AL0000882,35804
AL0000885,35758
AL0000888,35811
AL0000899,35898
AL0000908,36732
AL0000933,35950
AL0000934,35016
AL0000936,35957
AL0000940,35964
AL0000943,35976
AL0000967,36522
AL0001002,36590
AL0001005,36575
AL0001005,36582
AL0001005,36602
AL0001005,36603
AL0001005,36604
AL0001005,36605
AL0001005,36606
AL0001005,36607
AL0001005,36608
AL0001005,36609
AL0001005,36610
AL0001005,36612
AL0001005,36615
AL0001005,36617
AL0001005,36618
AL0001005,36619
AL0001005,36652
AL0001005,36693
AL0001005,36695
AL0001015,36610
AL0001021,36571
AL0001070,36102
AL0001084,35601
AL0001084,35603
AL0001086,35640
AL0001088,35670
AL0001092,35609
AL0001106,35447
AL0001120,36081
AL0001124,36081
AL0001142,36868
AL0001145,36868
AL0001148,35007
AL0001150,35040
AL0001151,35051
AL0001157,35080
AL0001163,35124
AL0001203,35120
AL0001204,35120
AL0001222,35470
AL0001258,35150
AL0001260,35160
AL0001265,35010
AL0001307,35476
AL0001313,35401
AL0001336,35501
AL0001411,35565
AL0001422,35755
AL0001422,35765
AL0001422,35950
AL0001422,35951
AL0001422,35956
AL0001422,35957
AL0001422,35959
AL0001422,35960
AL0001422,35961
AL0001422,35962
AL0001422,35967
AL0001422,35968
AL0001422,35971
AL0001422,35973
AL0001422,35974
AL0001422,35975
AL0001422,35976
AL0001422,35978
AL0001422,35983
AL0001422,35986
AL0001422,35988
AL0001422,35989
AL0001432,35502
AL0001489,36362
AL0001507,36037
AL0001540,35475
AL0001671,35051
AL0001783,35049
AL0001786,35056
AR0000004,72336
AR0000025,72653
AR0000039,72715
AR0000041,72712
AR0000044,72719
AR0000055,72757
AR0000056,72761
AR0000062,72601
AR0000085,71923
AR0000101,72067
AR0000104,72543
AR0000109,71754
AR0000119,72110
AR0000124,72401
AR0000142,72956
AR0000152,72364
AR0000156,72303
AR0000184,71655
AR0000189,72033
AR0000195,72173
AR0000208,71909
AR0000209,71901
AR0000209,71913
AR0000209,71956
AR0000222,72451
AR0000230,71802
AR0000250,72503
AR0000272,71611
AR0000338,72023
AR0000360,75501
AR0000365,72315
AR0000365,72316
AR0000404,71711
AR0000446,72811
AR0000459,72347
AR0000463,72113
AR0000465,72203
AR0000466,72078
AR0000484,72015
AR0000486,72022
AR0000492,72015
AR0000493,72103
AR0000507,72904
AR0000513,72022
AR0000550,71731
AR0000569,72701
AR0000574,72730
AR0000575,72765
AR0000590,72143
AR0000738,72160
AR0000782,72811
AS9711948,96799
AZ0402010,85635
AZ0402014,85607
AZ0402044,85635
AZ0402078,85613
AZ0403003,86336
AZ0403003,86351
AZ0403008,86001
AZ0403702,86001
AZ0404008,85501
AZ0404032,85541
AZ0405005,85546
AZ0407017,85268
AZ0407025,85001
AZ0407025,85003
