PWSID,ZIPCODE
10106001,6338
10109005,6382
20000008,14129
20000008,14091
20000008,14070
20000008,14081
43740039,28719
55293201,48858
55294214,56633
55294506,55372
63500120,87052
63506008,88340
83890023,62220
83890023,58701
83890023,58316
84690516,57560
84690516,57579
84690516,57555
84690532,57555
90400090,85139
90400090,85138
90400106,86042
90400109,85256
90400343,85541
90400692,85226
90400692,85339
90407149,85256
90605012,92061
90605013,92593
90605083,96003
90605153,92059
93534024,87413
105300003,98271
105300116,98271
AK2110342,99801
AK2121514,99928
AK2130075,99835
AK2130148,99833
AK2210906,99516
AK2210906,99517
AK2210906,99501
AK2210906,99502
AK2210906,99503
AK2210906,99504
AK2210906,99507
AK2210906,99508
AK2210906,99515
AK2210906,99577
AK2210906,99567
AK2211423,99506
AK2211431,99518
AK2224646,99654
AK2240448,99611
AK2250011,99615
AK2260309,99692
AK2260309,99685
AK2270176,99658
AK2271999,99559
AK2310730,99709
AK2310730,99707
AK2310730,99716
AK2310730,99702
AK2310730,99767
AK2310730,99775
AK2310730,99790
AK2310730,99712
AK2310730,99706
AK2310730,99714
AK2310730,99708
AK2310730,99701
AK2310730,99710
AK2310730,99711
AK2310730,99705
AK2310900,99712
AK2310900,99705
AK2310900,99702
AK2310900,99701
AK2310900,99706
AK2310900,99707
AK2310900,99708
AK2310900,99709
AK2310900,99711
AK2310900,99714
AK2310900,99716
AK2310900,99767
AK2310900,99775
AK2310900,99790
AK2310900,99710
AK2340387,99684
AK2370146,99737
AL0000001,36068
AL0000013,36051
AL0000023,36578
AL0000023,36507
AL0000023,36579
AL0000023,36562
AL0000029,36526
AL0000035,36580
AL0000035,36526
AL0000035,36576
AL0000035,36535
AL0000035,36532
AL0000035,36559
AL0000036,36511
AL0000036,36555
AL0000036,36530
AL0000036,36535
AL0000053,36561
AL0000068,36577
AL0000085,36027
AL0000103,35121
AL0000103,35146
AL0000103,35049
AL0000103,35133
AL0000118,36089
AL0000131,36272
AL0000131,36279
AL0000131,36265
AL0000131,36277
AL0000131,36271
AL0000131,36250
AL0000131,36206
AL0000131,36207
AL0000131,35905
AL0000154,36265
AL0000162,36203
AL0000162,36268
AL0000162,36260
AL0000162,36207
AL0000162,35096
AL0000162,36201
AL0000174,36862
AL0000174,36274
AL0000174,36852
AL0000174,36854
AL0000174,36863
AL0000174,36855
AL0000177,36863
AL0000178,36862
AL0000180,36801
AL0000180,36854
AL0000189,35960
AL0000189,36272
AL0000234,36792
AL0000234,35040
AL0000234,36758
AL0000234,35045
AL0000234,36051
AL0000234,35046
AL0000234,36750
AL0000234,36790
AL0000234,35115
AL0000234,36091
AL0000234,35085
AL0000234,35171
AL0000234,36006
AL0000279,36265
AL0000296,36330
AL0000296,36331
AL0000302,36351
AL0000314,35674
AL0000314,35661
AL0000314,35672
AL0000314,35616
AL0000314,35646
AL0000320,35654
AL0000321,35661
AL0000321,35662
AL0000327,35660
AL0000331,35674
AL0000356,36420
AL0000361,36474
AL0000361,36442
AL0000361,36421
AL0000361,36420
AL0000361,36028
AL0000361,36038
AL0000361,36467
AL0000397,36028
AL0000397,36009
AL0000402,35055
AL0000402,35087
AL0000402,35058
AL0000402,35019
AL0000402,35083
AL0000409,35087
AL0000413,35058
AL0000413,35057
AL0000413,35098
AL0000413,35641
AL0000413,35179
AL0000413,35619
AL0000413,35650
AL0000413,35622
AL0000441,36360
AL0000441,36362
AL0000441,36361
AL0000506,35961
AL0000535,36025
AL0000535,36054
AL0000535,36022
AL0000539,36054
AL0000540,36022
AL0000549,36054
AL0000551,36092
AL0000553,36502
AL0000561,36502
AL0000588,35906
AL0000591,35907
AL0000594,35555
AL0000595,35545
AL0000607,35645
AL0000607,35582
AL0000610,35654
AL0000610,35653
AL0000624,35645
AL0000663,36353
AL0000663,36310
AL0000663,36373
AL0000663,36317
AL0000663,36312
AL0000663,36376
AL0000663,36319
AL0000663,36345
AL0000671,36370
AL0000671,36312
AL0000681,36352
AL0000681,36301
AL0000681,36345
AL0000681,36350
AL0000681,36303
AL0000681,36305
AL0000681,36321
AL0000681,36312
AL0000713,35740
AL0000728,35978
AL0000728,35768
AL0000728,35986
AL0000728,35765
AL0000728,35968
AL0000729,35768
AL0000729,35769
AL0000738,35209
AL0000738,35203
AL0000738,35068
AL0000738,35005
AL0000738,35221
AL0000738,35172
AL0000738,35244
AL0000738,35208
AL0000738,35064
AL0000738,35213
AL0000738,35094
AL0000738,35206
AL0000738,35061
AL0000738,35223
AL0000738,35228
AL0000738,35127
AL0000738,35233
AL0000738,35211
AL0000738,35073
AL0000738,35234
AL0000738,35242
AL0000738,35062
AL0000738,35243
AL0000738,35091
AL0000738,35133
AL0000738,35224
AL0000738,35080
AL0000738,35118
AL0000738,35215
AL0000738,35060
AL0000738,35205
AL0000738,35217
AL0000738,35180
AL0000738,35116
AL0000738,35226
AL0000738,35214
AL0000738,35023
AL0000738,35216
AL0000738,35204
AL0000738,35210
AL0000738,35126
AL0000738,35207
AL0000738,35222
AL0000738,35071
AL0000738,35004
AL0000738,35212
AL0000738,35294
AL0000738,35218
AL0000738,35235
AL0000753,35004
AL0000753,35094
AL0000761,35120
AL0000761,35173
AL0000761,35146
AL0000761,35210
AL0000761,35235
AL0000763,35023
AL0000763,35111
AL0000777,35630
AL0000783,35632
AL0000783,35634
AL0000783,35645
AL0000783,35631
AL0000783,35633
AL0000783,35630
AL0000801,35618
AL0000801,35650
AL0000801,35672
AL0000801,35651
AL0000804,36832
AL0000814,36865
AL0000814,36832
AL0000814,36830
AL0000814,36879
AL0000814,36860
AL0000814,36850
AL0000816,36801
AL0000820,36877
AL0000820,36870
AL0000820,36868
AL0000820,36874
AL0000820,36801
AL0000820,36804
AL0000820,36867
AL0000824,35611
AL0000824,35613
AL0000824,35614
AL0000833,35647
AL0000833,35620
AL0000833,35611
AL0000833,35612
AL0000833,35756
AL0000833,35613
AL0000833,35614
AL0000833,35671
AL0000870,36083
AL0000870,36087
AL0000870,36088
AL0000882,35894
AL0000882,35893
AL0000882,35824
AL0000882,35816
AL0000882,35815
AL0000882,35814
AL0000882,35810
AL0000882,35895
AL0000882,35804
AL0000882,35896
AL0000882,35806
AL0000882,35812
AL0000882,35805
AL0000882,35807
AL0000882,35803
AL0000882,35802
AL0000882,35801
AL0000882,35897
AL0000882,35809
AL0000882,35899
AL0000882,35811
AL0000882,35813
AL0000885,35758
AL0000885,35756
AL0000885,35757
AL0000888,35759
AL0000888,35741
AL0000888,35739
AL0000888,35773
AL0000888,35811
AL0000888,35750
AL0000888,35760
AL0000888,35761
AL0000888,35748
AL0000899,35898
AL0000924,35563
AL0000924,35594
AL0000925,35564
AL0000926,35570
AL0000933,35950
AL0000933,35951
AL0000934,35176
AL0000934,35016
AL0000934,35976
AL0000934,35670
AL0000934,35754
AL0000936,35954
AL0000936,35956
AL0000936,35957
AL0000940,35952
AL0000940,35980
AL0000940,35957
AL0000940,35956
AL0000940,35950
AL0000940,35964
AL0000940,35976
AL0000943,35976
AL0000945,35776
AL0000945,35747
AL0000945,35976
AL0000951,35175
AL0000967,36575
AL0000967,36553
AL0000967,36556
AL0000967,36522
AL0000967,36513
AL0000967,36613
AL0000967,36618
AL0000967,36541
AL0000967,36608
AL0000967,36695
AL0000967,36560
AL0000967,36521
AL0000967,36582
AL0000967,36857
AL0001002,36619
AL0001002,36590
AL0001002,36523
AL0001002,36544
AL0001002,36541
AL0001002,36582
AL0001005,36575
AL0001005,36608
AL0001005,36618
AL0001005,36582
AL0001005,36604
AL0001005,36606
AL0001005,36693
AL0001005,36610
AL0001005,36603
AL0001005,36605
AL0001015,36612
AL0001015,36613
AL0001015,36610
AL0001015,36611
AL0001021,36571
AL0001070,36064
AL0001070,36106
AL0001070,36105
AL0001070,36104
AL0001070,36103
AL0001070,36102
AL0001070,36101
AL0001070,36069
AL0001070,36109
AL0001070,36057
AL0001070,36052
AL0001070,36043
AL0001070,36029
AL0001070,36013
AL0001070,36092
AL0001070,36117
AL0001070,36107
AL0001070,36130
AL0001070,36108
AL0001070,36116
AL0001070,36113
AL0001070,36112
AL0001070,36111
AL0001070,36110
AL0001073,36043
AL0001078,36105
AL0001084,35601
AL0001084,35603
AL0001086,35640
AL0001088,35670
AL0001100,36786
AL0001106,35442
AL0001106,35466
AL0001106,35447
AL0001106,35461
AL0001106,35576
AL0001106,35574
AL0001106,35481
AL0001120,36079
AL0001120,36005
AL0001120,36010
AL0001120,36034
AL0001120,36081
AL0001120,36049
AL0001120,36035
AL0001124,36079
AL0001124,36081
AL0001137,36875
AL0001137,36851
AL0001137,36871
AL0001137,36869
AL0001137,36856
AL0001142,36867
AL0001150,35040
AL0001151,35051
AL0001151,35143
AL0001151,35044
AL0001151,35043
AL0001163,35124
AL0001203,35953
AL0001203,35120
AL0001203,35173
AL0001204,35128
AL0001204,35125
AL0001211,35146
AL0001222,36907
AL0001222,35442
AL0001222,35459
AL0001222,35470
AL0001258,35150
AL0001260,35160
AL0001273,36853
AL0001274,36256
AL0001288,36078
AL0001293,35111
AL0001293,35490
AL0001293,35444
AL0001293,35453
AL0001293,35184
AL0001293,35440
AL0001307,35474
AL0001307,35475
AL0001307,35473
AL0001344,35580
AL0001402,35540
AL0001422,35957
AL0001422,35962
AL0001422,35950
AL0001422,35961
AL0001422,35973
AL0001422,35974
AL0001422,35960
AL0001422,35951
AL0001422,35755
AL0001422,35971
AL0001422,35975
AL0001422,36775
AL0001422,35989
AL0001422,35963
AL0001422,35967
AL0001422,35956
AL0001422,35988
AL0001422,35986
AL0001422,35983
AL0001422,35981
AL0001422,35978
AL0001422,35976
AL0001422,35959
AL0001422,35968
AL0001423,35634
AL0001432,35501
AL0001432,35503
AL0001432,35504
AL0001432,35578
AL0001432,35549
AL0001432,35553
AL0001432,35502
AL0001489,36362
AL0001500,35653
AL0001507,36456
AL0001507,36030
AL0001507,36768
AL0001507,36042
AL0001507,36033
AL0001507,36071
AL0001507,36032
