PWSID,PWSName,Size,FacilityID,FacilityName,FacilityWaterType,SamplePointID,SamplePointName,SamplePointType,CollectionDate,SampleID,Contaminant,MRL,MethodID,AnalyticalResultsSign,AnalyticalResultValue(µg/L),SampleEventCode,MonitoringRequirement,Region
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,3/5/2019,110900P,1-butanol,2,EPA 541,<,,SEA1,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,3/5/2019,110900P,2-methoxyethanol,0.4,EPA 541,<,,SEA1,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,3/5/2019,110900P,2-propen-1-ol,0.5,EPA 541,<,,SEA1,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,3/5/2019,110900P,alpha-hexachlorocyclohexane,0.01,EPA 525.3,<,,SEA1,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,3/5/2019,110900P,butylated hydroxyanisole,0.03,EPA 530,<,,SEA1,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,3/5/2019,110900P,chlorpyrifos,0.03,EPA 525.3,<,,SEA1,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,3/5/2019,110900P,dimethipin,0.2,EPA 525.3,<,,SEA1,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,3/5/2019,110900P,ethoprop,0.03,EPA 525.3,<,,SEA1,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,3/5/2019,110900P,germanium,0.3,EPA 200.8,<,,SEA1,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,3/5/2019,110900P,manganese,0.4,EPA 200.8,=,0.591,SEA1,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,3/5/2019,110900P,o-toluidine,0.007,EPA 530,<,,SEA1,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,3/5/2019,110900P,oxyfluorfen,0.05,EPA 525.3,<,,SEA1,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,3/5/2019,110900P,profenofos,0.3,EPA 525.3,<,,SEA1,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,3/5/2019,110900P,quinoline,0.02,EPA 530,<,,SEA1,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,3/5/2019,110900P,tebuconazole,0.2,EPA 525.3,<,,SEA1,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,3/5/2019,110900P,total permethrin,0.04,EPA 525.3,<,,SEA1,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,3/5/2019,110900P,tribufos,0.07,EPA 525.3,<,,SEA1,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,6/3/2019,112504P,1-butanol,2,EPA 541,<,,SEA2,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,6/3/2019,112504P,2-methoxyethanol,0.4,EPA 541,<,,SEA2,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,6/3/2019,112504P,2-propen-1-ol,0.5,EPA 541,<,,SEA2,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,6/3/2019,112504P,alpha-hexachlorocyclohexane,0.01,EPA 525.3,<,,SEA2,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,6/3/2019,112504P,butylated hydroxyanisole,0.03,EPA 530,<,,SEA2,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,6/3/2019,112504P,chlorpyrifos,0.03,EPA 525.3,<,,SEA2,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,6/3/2019,112504P,dimethipin,0.2,EPA 525.3,<,,SEA2,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,6/3/2019,112504P,ethoprop,0.03,EPA 525.3,<,,SEA2,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,6/3/2019,112504P,germanium,0.3,EPA 200.8,<,,SEA2,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,6/3/2019,112504P,manganese,0.4,EPA 200.8,<,,SEA2,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,6/3/2019,112504P,o-toluidine,0.007,EPA 530,<,,SEA2,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,6/3/2019,112504P,oxyfluorfen,0.05,EPA 525.3,<,,SEA2,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,6/3/2019,112504P,profenofos,0.3,EPA 525.3,<,,SEA2,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,6/3/2019,112504P,quinoline,0.02,EPA 530,<,,SEA2,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,6/3/2019,112504P,tebuconazole,0.2,EPA 525.3,<,,SEA2,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,6/3/2019,112504P,total permethrin,0.04,EPA 525.3,<,,SEA2,AM,5
MI0000012,Ada Township,S,20001,Connection,SW,EP1,Tap at Booster Station,EP,6/3/2019,112504P,tribufos,0.07,EPA 525.3,<,,SEA2,AM,5
MI0000012,Ada Township,S,30001,Distribution System,SW,DS1,120 Alta Dale,DS,3/5/2019,510901P,HAA5,,EPA 552.3,=,27.145,SEH1,AM,5
MI0000012,Ada Township,S,30001,Distribution System,SW,DS1,120 Alta Dale,DS,3/5/2019,510901P,HAA6Br,,EPA 552.3,=,14.391,SEH1,AM,5
MI0000012,Ada Township,S,30001,Distribution System,SW,DS1,120 Alta Dale,DS,3/5/2019,510901P,HAA9,,EPA 552.3,=,40.282,SEH1,AM,5
