,Unnamed: 0,PWSID,PWSName,FacilityID,FacilityWaterType,SamplePointID,AssociatedFacilityID,AssociatedSamplePointID,CollectionDate,SampleID,Contaminant,MRL,AnalyticalResultsSign,AnalyticalResultValue,Region,State,ZIPCODE
0,0,MI0004370,City of Midland,6197,SW,TP001,4674.0,MR1,3/11/14,201403130319AM,strontium,0.3,=,98.0,5,MI,48641
1,6,MI0004370,City of Midland,6197,SW,TP001,4674.0,MR1,3/11/14,201403130319AM,chromium,0.2,=,0.23,5,MI,48641
2,23,MI0004370,City of Midland,6197,SW,TP001,4674.0,MR1,12/11/13,201312120825AM,chromium-6,0.03,=,0.29,5,MI,48641
3,24,MI0004370,City of Midland,6197,SW,TP001,4674.0,MR1,3/11/14,201403130319AM,chromium-6,0.03,=,0.23,5,MI,48641
4,25,MI0004370,City of Midland,6197,SW,TP001,4674.0,MR1,12/11/13,201312120825AM,chromium,0.2,=,0.3,5,MI,48641
5,27,MI0004370,City of Midland,6197,SW,TP001,4674.0,MR1,12/11/13,201312120825AM,strontium,0.3,=,81.0,5,MI,48641
6,34,MI0004370,City of Midland,6197,SW,TP001,4674.0,MR1,6/24/14,201406250131AM,strontium,0.3,=,100.0,5,MI,48641
7,35,MI0004370,City of Midland,6197,SW,TP001,4674.0,MR1,6/24/14,201406250131AM,chromium,0.2,=,0.42,5,MI,48641
8,48,MI0004370,City of Midland,6197,SW,TP001,4674.0,MR1,9/9/13,201309100316AM,chromium-6,0.03,=,0.5,5,MI,48641
9,49,MI0004370,City of Midland,6197,SW,TP001,4674.0,MR1,9/9/13,201309100316AM,strontium,0.3,=,97.0,5,MI,48641
10,50,MI0004370,City of Midland,6197,SW,TP001,4674.0,MR1,9/9/13,201309100316AM,chromium,0.2,=,0.56,5,MI,48641
11,56,MI0004370,City of Midland,4674,SW,MR1,,,3/11/14,201403130310AM,chromium,0.2,=,0.28,5,MI,48641
12,59,MI0004370,City of Midland,4674,SW,MR1,,,6/24/14,201406250129AM,chromium,0.2,=,0.34,5,MI,48641
13,62,MI0004370,City of Midland,4674,SW,MR1,,,6/9/14,201406100292AM,chromium-6,0.03,=,0.27,5,MI,48641
14,63,MI0004370,City of Midland,4674,SW,MR1,,,9/9/13,201309100232AM,strontium,0.3,=,110.0,5,MI,48641
15,64,MI0004370,City of Midland,4674,SW,MR1,,,9/9/13,201309100232AM,chromium,0.2,=,0.44,5,MI,48641
16,65,MI0004370,City of Midland,4674,SW,MR1,,,9/9/13,201309100232AM,chromium-6,0.03,=,0.45,5,MI,48641
17,69,MI0004370,City of Midland,4674,SW,MR1,,,6/24/14,201406250129AM,strontium,0.3,=,110.0,5,MI,48641
18,70,MI0004370,City of Midland,4674,SW,MR1,,,3/11/14,201403130310AM,chromium-6,0.03,=,0.27,5,MI,48641
19,75,MI0004370,City of Midland,4674,SW,MR1,,,3/11/14,201403130310AM,strontium,0.3,=,110.0,5,MI,48641
20,78,MI0004370,City of Midland,4674,SW,MR1,,,12/11/13,201312120766AM,chromium,0.2,=,0.48,5,MI,48641
21,79,MI0004370,City of Midland,4674,SW,MR1,,,12/11/13,201312120766AM,strontium,0.3,=,120.0,5,MI,48641
22,80,MI0004370,City of Midland,4674,SW,MR1,,,12/11/13,201312120766AM,chromium-6,0.03,=,0.36,5,MI,48641
23,101,MI0004370,City of Midland,6197,SW,TP001,4674.0,MR1,6/10/14,201406110957AM,chromium-6,0.03,=,0.3,5,MI,48641
24,115,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,12/17/13,763586-10437,chromium-6,0.03,=,0.109,5,MI,48117
25,115,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,12/17/13,763586-10437,chromium-6,0.03,=,0.109,5,MI,48131
26,115,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,12/17/13,763586-10437,chromium-6,0.03,=,0.109,5,MI,48140
27,115,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,12/17/13,763586-10437,chromium-6,0.03,=,0.109,5,MI,48145
28,115,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,12/17/13,763586-10437,chromium-6,0.03,=,0.109,5,MI,48159
29,115,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,12/17/13,763586-10437,chromium-6,0.03,=,0.109,5,MI,48161
30,115,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,12/17/13,763586-10437,chromium-6,0.03,=,0.109,5,MI,48162
31,115,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,12/17/13,763586-10437,chromium-6,0.03,=,0.109,5,MI,49270
32,125,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,7/10/13,730676-9333,chromium,0.2,=,0.257,5,MI,48117
33,125,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,7/10/13,730676-9333,chromium,0.2,=,0.257,5,MI,48131
34,125,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,7/10/13,730676-9333,chromium,0.2,=,0.257,5,MI,48140
35,125,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,7/10/13,730676-9333,chromium,0.2,=,0.257,5,MI,48145
36,125,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,7/10/13,730676-9333,chromium,0.2,=,0.257,5,MI,48159
37,125,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,7/10/13,730676-9333,chromium,0.2,=,0.257,5,MI,48161
38,125,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,7/10/13,730676-9333,chromium,0.2,=,0.257,5,MI,48162
39,125,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,7/10/13,730676-9333,chromium,0.2,=,0.257,5,MI,49270
40,129,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,6/13/13,725796-9141,chromium-6,0.03,=,0.251,5,MI,48117
41,129,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,6/13/13,725796-9141,chromium-6,0.03,=,0.251,5,MI,48131
42,129,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,6/13/13,725796-9141,chromium-6,0.03,=,0.251,5,MI,48140
43,129,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,6/13/13,725796-9141,chromium-6,0.03,=,0.251,5,MI,48145
44,129,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,6/13/13,725796-9141,chromium-6,0.03,=,0.251,5,MI,48159
45,129,MI0004450,Monroe,5805,SW,TP001,4703.0,MR1,6/13/13,725796-9141,chromium-6,0.03,=,0.251,5,MI,48161
