,PWSID,PWSName,FacilityID,FacilityWaterType,SamplePointID,CollectionDate,SampleID,Contaminant,MRL,AnalyticalResultsSign,AnalyticalResultValue,Region,ZIPCODE
0,MI0000012,Ada Township,20001,SW,EP1,3/5/2019,110900P,manganese,0.4,=,0.591,5,49301
1,MI0000012,Ada Township,30001,SW,DS1,3/5/2019,510901P,HAA5,,=,27.145,5,49301
2,MI0000012,Ada Township,30001,SW,DS1,3/5/2019,510901P,HAA6Br,,=,14.390999999999998,5,49301
3,MI0000012,Ada Township,30001,SW,DS1,3/5/2019,510901P,HAA9,,=,40.282,5,49301
4,MI0000012,Ada Township,30001,SW,DS1,6/3/2019,512505P,HAA5,,=,42.474,5,49301
5,MI0000012,Ada Township,30001,SW,DS1,6/3/2019,512505P,HAA6Br,,=,15.693,5,49301
6,MI0000012,Ada Township,30001,SW,DS1,6/3/2019,512505P,HAA9,,=,56.668,5,49301
7,MI0000012,Ada Township,30001,SW,DS2,3/5/2019,510902P,HAA5,,=,34.4365,5,49301
8,MI0000012,Ada Township,30001,SW,DS2,3/5/2019,510902P,HAA6Br,,=,15.485999999999999,5,49301
9,MI0000012,Ada Township,30001,SW,DS2,3/5/2019,510902P,HAA9,,=,48.6995,5,49301
10,MI0000012,Ada Township,30001,SW,DS2,6/3/2019,512506P,HAA5,,=,41.626999999999995,5,49301
11,MI0000012,Ada Township,30001,SW,DS2,6/3/2019,512506P,HAA6Br,,=,15.312999999999999,5,49301
12,MI0000012,Ada Township,30001,SW,DS2,6/3/2019,512506P,HAA9,,=,55.535,5,49301
13,MI0000130,Allen Park,4896,SW,DBP1,7/24/2018,35406391002SEH1,HAA5,,=,18.88,5,48101
14,MI0000130,Allen Park,4896,SW,DBP1,7/24/2018,35406391002SEH1,HAA6Br,,=,5.12,5,48101
15,MI0000130,Allen Park,4896,SW,DBP1,7/24/2018,35406391002SEH1,HAA9,,=,23.32,5,48101
16,MI0000130,Allen Park,4896,SW,DBP1,10/10/2018,A8J2112-01,HAA5,,=,12.07,5,48101
17,MI0000130,Allen Park,4896,SW,DBP1,10/10/2018,A8J2112-01,HAA6Br,,=,7.97,5,48101
18,MI0000130,Allen Park,4896,SW,DBP1,10/10/2018,A8J2112-01,HAA9,,=,19.47,5,48101
19,MI0000130,Allen Park,4896,SW,DBP1,11/26/2018,35433128002SEH3,HAA5,,=,16.7,5,48101
20,MI0000130,Allen Park,4896,SW,DBP1,11/26/2018,35433128002SEH3,HAA6Br,,=,8.2,5,48101
21,MI0000130,Allen Park,4896,SW,DBP1,11/26/2018,35433128002SEH3,HAA9,,=,24.9,5,48101
22,MI0000130,Allen Park,4896,SW,DBP1,3/4/2019,35451655002SEH4,HAA5,,=,11.1,5,48101
23,MI0000130,Allen Park,4896,SW,DBP1,3/4/2019,35451655002SEH4,HAA6Br,,=,7.38,5,48101
24,MI0000130,Allen Park,4896,SW,DBP1,3/4/2019,35451655002SEH4,HAA9,,=,17.48,5,48101
25,MI0000130,Allen Park,10897,SW,CC002,7/24/2018,35406391001SEA1,manganese,0.4,=,3.7,5,48101
26,MI0000130,Allen Park,10897,SW,CC002,10/10/2018,35423658001SEA2,manganese,0.4,=,1.3,5,48101
27,MI0000130,Allen Park,10897,SW,CC002,11/26/2018,35433128001SEA3,manganese,0.4,=,1.1,5,48101
28,MI0000130,Allen Park,10897,SW,CC002,3/4/2019,35451655001SEA4,manganese,0.4,=,1.5,5,48101
29,MI0000160,City of Alpena,4711,SW,DBP1,8/13/2019,1140650,HAA5,,=,11.294,5,49707
30,MI0000160,City of Alpena,4711,SW,DBP1,8/13/2019,1140650,HAA6Br,,=,2.885,5,49707
31,MI0000160,City of Alpena,4711,SW,DBP1,8/13/2019,1140650,HAA9,,=,14.179,5,49707
32,MI0000160,City of Alpena,4711,SW,DPD2,8/13/2019,1140651,HAA5,,=,9.495,5,49707
33,MI0000160,City of Alpena,4711,SW,DPD2,8/13/2019,1140651,HAA6Br,,=,2.93,5,49707
34,MI0000160,City of Alpena,4711,SW,DPD2,8/13/2019,1140651,HAA9,,=,12.425,5,49707
