,CollectionDate,ZIPCODE,AnalyticalResultValue
111,2019,48009,6.085
112,2019,48021,7.87
113,2019,48030,6.95
114,2019,48035,5.1575
115,2019,48036,5.1575
116,2019,48038,5.1575
117,2019,48054,7.482666666666667
118,2019,48060,6.167625
119,2019,48066,7.640000000000001
120,2019,48067,8.782499999999999
121,2019,48072,4.615
122,2019,48073,8.782499999999999
123,2019,48074,5.826166666666666
124,2019,48083,7.65
125,2019,48084,7.65
126,2019,48085,7.65
127,2019,48094,8.657
128,2019,48095,8.657
129,2019,48098,7.65
130,2019,48101,7.38
131,2019,48103,2.9801
132,2019,48108,11.33
133,2019,48111,4.154
134,2019,48117,6.2995
135,2019,48120,5.45475
136,2019,48124,5.45475
137,2019,48126,5.45475
138,2019,48128,5.45475
139,2019,48131,8.445
140,2019,48134,4.154
141,2019,48140,8.445
142,2019,48159,8.445
143,2019,48161,8.445
144,2019,48162,11.8675
145,2019,48164,4.154
146,2019,48166,13.57875
147,2019,48170,8.722000000000001
148,2019,48174,4.154
149,2019,48176,11.33
150,2019,48178,12.0775
151,2019,48180,10.251749999999998
152,2019,48182,6.0325
153,2019,48183,7.855499999999999
154,2019,48192,8.514
155,2019,48193,8.217166666666667
156,2019,48195,6.14
157,2019,48197,8.2655
158,2019,48198,8.2655
159,2019,48201,8.680833333333334
160,2019,48202,8.680833333333334
161,2019,48203,8.525000000000002
162,2019,48204,8.680833333333334
163,2019,48205,8.680833333333334
164,2019,48206,8.680833333333334
165,2019,48207,8.680833333333334
166,2019,48209,8.680833333333334
167,2019,48210,8.680833333333334
168,2019,48211,8.680833333333334
169,2019,48212,8.38857142857143
170,2019,48213,8.680833333333334
171,2019,48214,8.680833333333334
172,2019,48215,8.680833333333334
173,2019,48216,8.680833333333334
174,2019,48217,8.680833333333334
175,2019,48219,8.680833333333334
176,2019,48221,8.680833333333334
177,2019,48223,8.680833333333334
178,2019,48224,8.680833333333334
179,2019,48226,8.680833333333334
180,2019,48227,8.680833333333334
181,2019,48228,8.680833333333334
182,2019,48230,5.795999999999999
183,2019,48234,8.680833333333334
184,2019,48235,8.680833333333334
185,2019,48236,8.103866666666667
186,2019,48238,8.680833333333334
187,2019,48239,8.680833333333334
188,2019,48243,8.680833333333334
189,2019,48323,6.2
190,2019,48331,6.796666666666667
191,2019,48332,6.796666666666667
192,2019,48333,6.796666666666667
193,2019,48334,6.796666666666667
194,2019,48335,6.796666666666667
195,2019,48336,6.796666666666667
196,2019,48340,6.385
197,2019,48341,6.385
198,2019,48342,6.385
199,2019,48343,6.385
200,2019,48346,4.1625
201,2019,48382,7.97
202,2019,48390,7.97
203,2019,48393,6.279333333333334
204,2019,48437,8.825
205,2019,48439,6.45
206,2019,48458,8.825
207,2019,48480,6.45
208,2019,48505,8.099700000000002
209,2019,48506,8.099700000000002
210,2019,48507,6.45
211,2019,48601,6.147500000000001
212,2019,48602,6.147500000000001
213,2019,48603,7.700625
214,2019,48604,6.147500000000001
215,2019,48605,6.147500000000001
216,2019,48606,6.147500000000001
217,2019,48607,6.147500000000001
218,2019,48608,6.147500000000001
219,2019,48609,6.147500000000001
220,2019,48706,6.147500000000001
221,2019,48710,6.147500000000001
222,2019,48814,6.635
223,2019,48824,3.31225
224,2019,48843,6.635
225,2019,48855,6.635
226,2019,48858,14.278749999999999
227,2019,49002,2.854
228,2019,49014,13.816
229,2019,49024,2.854
230,2019,49048,2.854
231,2019,49068,5.199249999999999
232,2019,49079,1.25
233,2019,49201,10.973875
234,2019,49203,10.973875
235,2019,49270,8.445
236,2019,49301,13.9124375
237,2019,49307,1.0915
238,2019,49417,13.51
239,2019,49418,12.309
240,2019,49423,9.515
241,2019,49426,12.309
242,2019,49429,12.309
243,2019,49441,11.363333333333335
244,2019,49460,13.476333333333331
245,2019,49506,11.855
246,2019,49508,11.9945
247,2019,49512,13.476333333333331
248,2019,49525,13.476333333333331
249,2019,49534,13.476333333333331
250,2019,49544,13.476333333333331
251,2019,49548,11.9945
252,2019,49707,2.9074999999999998
253,2019,49713,0.0
254,2019,49829,7.259583333333334
255,2019,49855,1.545
