,CollectionDate,ZIPCODE,AnalyticalResultValue
73,2019,48009,0.775
74,2019,48021,8.166666666666666
75,2019,48030,12.15
76,2019,48047,0.49
77,2019,48054,1.1749999999999998
78,2019,48060,1.8196666666666668
79,2019,48066,0.48
80,2019,48067,0.56
81,2019,48072,0.52
82,2019,48073,0.56
83,2019,48074,1.8196666666666668
84,2019,48080,0.87
85,2019,48101,1.5
86,2019,48103,0.589
87,2019,48111,0.7509999999999999
88,2019,48117,0.6704999999999999
89,2019,48131,0.59
90,2019,48134,0.7509999999999999
91,2019,48140,0.59
92,2019,48159,0.59
93,2019,48161,0.59
94,2019,48162,0.5826666666666666
95,2019,48164,0.7509999999999999
96,2019,48166,0.579
97,2019,48170,0.405
98,2019,48174,0.7509999999999999
99,2019,48180,3.0
100,2019,48193,0.7429999999999999
101,2019,48197,7.4799999999999995
102,2019,48198,7.4799999999999995
103,2019,48201,0.44
104,2019,48202,0.44
105,2019,48203,11.395
106,2019,48204,0.44
107,2019,48205,0.44
108,2019,48206,0.44
109,2019,48207,0.44
110,2019,48209,0.44
111,2019,48210,0.44
112,2019,48211,0.44
113,2019,48212,0.6933333333333334
114,2019,48213,0.44
115,2019,48214,0.44
116,2019,48215,0.44
117,2019,48216,0.44
118,2019,48217,0.44
119,2019,48219,0.44
120,2019,48221,0.44
121,2019,48223,0.44
122,2019,48224,0.44
123,2019,48225,0.87
124,2019,48226,0.44
125,2019,48227,0.44
126,2019,48228,0.44
127,2019,48230,0.426
128,2019,48234,0.44
129,2019,48235,0.44
130,2019,48236,0.43533333333333335
131,2019,48238,0.44
132,2019,48239,0.44
133,2019,48243,0.44
134,2019,48346,24.2494
135,2019,48382,0.79
136,2019,48390,0.79
137,2019,48393,0.6435000000000001
138,2019,48420,4.325
139,2019,48423,4.325
140,2019,48433,4.325
141,2019,48437,4.72
142,2019,48439,3.783333333333333
143,2019,48457,4.325
144,2019,48458,4.404
145,2019,48473,4.325
146,2019,48480,2.7
147,2019,48504,4.325
148,2019,48505,4.404
149,2019,48506,4.72
150,2019,48507,3.783333333333333
151,2019,48532,4.325
152,2019,48824,98.525
153,2019,48858,0.9550000000000001
154,2019,48867,21.114
155,2019,49002,141.1378
156,2019,49014,53.29
157,2019,49024,141.1378
158,2019,49048,141.1378
159,2019,49068,1.6480000000000001
160,2019,49079,31.88
161,2019,49201,1.301
162,2019,49203,1.301
163,2019,49270,0.59
164,2019,49301,0.591
165,2019,49302,186.57
166,2019,49418,0.54
167,2019,49426,0.54
168,2019,49429,0.54
169,2019,49441,0.51
170,2019,49707,0.413
171,2019,49713,3.2
